1,ezDI+ezCAMDI,"[""ezDI""]","[""ezdi_starting"", ""ezcam_di_starting""]",,
2,ezcar,"[""ezCAT""]","[""CATK_MAP"", ""CATK_CAR_PRODUCT"", ""CATK_CDGU"", ""CATK_CDGF""]",,
